CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;39;34;25;36;93
01:00;29;28;21;28;71
02:00;60;19;6;29;99
03:00;42;19;6;20;67
04:00;38;24;7;18;59
05:00;43;31;10;22;72
06:00;52;27;10;36;102
07:00;60;28;10;75;170
08:00;67;28;10;86;194
09:00;61;25;10;77;174
10:00;61;31;11;81;179
11:00;56;32;11;73;162
12:00;54;22;8;59;138
13:00;49;15;5;49;118
14:00;54;18;6;55;132
15:00;58;18;6;62;146
16:00;59;15;5;59;144
17:00;58;14;5;52;132
18:00;54;13;5;44;116
19:00;70;18;7;64;162
20:00;69;23;8;68;168
21:00;64;27;10;66;160
22:00;78;32;12;120;256
23:00;49;34;20;62;141
