CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;36;36;570;90
01:00;32;26;430;72
02:00;20;12;270;37
03:00;17;11;220;34
04:00;18;11;240;34
05:00;23;19;250;52
06:00;36;40;350;97
07:00;46;66;580;146
08:00;56;117;830;236
09:00;73;152;1040;305
10:00;66;132;950;268
11:00;64;119;790;246
12:00;69;161;1150;314
13:00;60;111;850;230
14:00;63;122;820;250
15:00;61;109;910;228
16:00;72;146;1130;293
17:00;67;120;1220;251
18:00;81;160;1430;324
19:00;66;124;1030;255
20:00;61;97;980;210
21:00;55;90;900;191
22:00;53;85;790;182
23:00;49;72;750;159
