CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;38;51;30;82
01:00;30;34;22;64
02:00;50;87;20;80
03:00;43;74;22;75
04:00;37;57;19;66
05:00;38;51;26;76
06:00;74;56;70;179
07:00;83;56;168;338
08:00;97;77;171;358
09:00;111;82;199;414
10:00;104;97;173;367
11:00;111;112;161;355
12:00;123;120;153;355
13:00;126;105;163;373
14:00;149;102;185;431
15:00;113;121;107;275
16:00;109;92;100;260
17:00;115;74;100;267
18:00;103;76;93;242
19:00;116;64;91;254
20:00;85;60;72;193
21:00;85;61;79;203
22:00;58;72;53;138
23:00;59;59;49;132
