CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;95;118;1680;276
01:00;66;93;1740;207
02:00;59;86;1680;190
03:00;56;100;1870;208
04:00;49;100;2050;202
05:00;58;151;2030;288
06:00;62;211;2000;385
07:00;88;359;2680;638
08:00;71;231;2250;424
09:00;75;163;1750;325
10:00;87;151;1190;318
11:00;67;77;800;186
12:00;47;48;540;120
13:00;64;58;560;153
14:00;78;73;620;190
15:00;80;71;630;189
16:00;88;78;760;207
17:00;94;81;700;217
18:00;124;151;1160;355
19:00;163;316;2110;647
20:00;143;234;1620;501
21:00;126;204;1750;437
22:00;124;255;2120;515
23:00;113;214;2130;440
