CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;93;57;59;1250;182
01:00;75;63;16;740;100
02:00;70;63;54;1080;152
03:00;57;76;42;800;120
04:00;48;31;27;650;88
05:00;44;55;25;540;80
06:00;55;35;50;650;130
07:00;74;37;123;1100;261
08:00;102;86;229;2000;451
09:00;96;85;128;1200;292
10:00;91;74;106;1140;253
11:00;100;55;113;1260;272
12:00;90;32;75;860;203
13:00;89;25;61;830;182
14:00;97;30;80;1060;219
15:00;95;30;90;1100;231
16:00;100;19;87;1190;231
17:00;120;27;97;1220;267
18:00;85;39;78;1090;205
19:00;104;34;102;1310;259
20:00;123;35;142;1750;340
21:00;128;73;147;1880;351
22:00;122;83;114;1750;296
23:00;102;72;75;1340;216
