CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;38;29;46;109
01:00;35;19;38;93
02:00;25;22;22;59
03:00;17;19;18;46
04:00;28;14;27;70
05:00;31;19;28;74
06:00;49;19;96;196
07:00;56;28;168;313
08:00;77;47;199;382
09:00;79;66;195;376
10:00;83;50;188;372
11:00;92;53;259;488
12:00;81;62;207;398
13:00;87;58;233;444
14:00;89;68;266;496
15:00;89;64;227;437
16:00;98;50;233;455
17:00;87;51;214;414
18:00;88;51;183;368
19:00;87;51;198;390
20:00;75;55;157;316
21:00;68;44;125;260
22:00;62;36;106;225
23:00;53;30;76;169
