CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;74;1410;143
01:00;31;91;1540;169
02:00;39;57;950;128
03:00;37;43;950;104
04:00;35;43;840;101
05:00;35;49;840;110
06:00;36;65;910;137
07:00;41;109;1130;207
08:00;43;112;1390;215
09:00;50;179;1740;324
10:00;48;164;1490;300
11:00;45;143;1490;263
12:00;55;144;1620;275
13:00;52;181;1820;328
14:00;42;109;1250;208
15:00;53;159;1680;296
16:00;48;153;1550;283
17:00;53;166;1680;308
18:00;54;169;1770;313
19:00;52;216;2090;383
20:00;57;245;2180;433
21:00;53;205;1820;368
22:00;47;154;1510;283
23:00;39;110;1270;207
