CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;52;96;124;240
01:00;34;82;44;101
02:00;33;75;49;109
03:00;28;73;45;96
04:00;29;81;49;104
05:00;32;77;81;156
06:00;47;86;168;304
07:00;62;102;237;424
08:00;67;117;186;352
09:00;70;103;137;279
10:00;60;100;108;225
11:00;67;74;93;208
12:00;59;59;85;189
13:00;;76;;
14:00;60;67;86;190
15:00;60;69;105;219
16:00;67;68;133;270
17:00;69;65;118;250
18:00;79;69;150;309
19:00;68;89;128;263
20:00;74;73;165;326
21:00;69;87;139;282
22:00;54;94;117;231
23:00;60;79;148;286
