CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;286;309;4370;526
01:00;33;176;163;2900;281
02:00;26;151;136;2640;234
03:00;26;148;98;2170;175
04:00;25;128;107;2010;187
05:00;29;114;144;2230;248
06:00;41;116;202;2600;349
07:00;59;126;365;3940;616
08:00;72;143;453;4420;764
09:00;98;185;387;4470;689
10:00;115;240;382;4070;700
11:00;142;273;389;4230;737
12:00;159;282;448;3690;845
13:00;131;269;367;2850;694
14:00;127;258;466;3690;841
15:00;138;234;598;6030;1053
16:00;155;317;822;8010;1403
17:00;119;480;490;5410;868
18:00;105;475;432;4830;766
19:00;104;375;456;5660;802
20:00;90;335;397;4630;696
21:00;70;313;287;3800;509
22:00;76;285;361;4510;629
23:00;67;275;395;4670;672
