CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;16;18;610;60
01:00;35;54;30;850;80
02:00;26;37;13;530;45
03:00;30;22;16;570;53
04:00;35;23;21;600;66
05:00;45;14;37;600;101
06:00;72;16;134;1030;277
07:00;107;60;378;2570;683
08:00;104;67;344;3280;630
09:00;102;70;230;2700;453
10:00;74;71;96;1250;220
11:00;64;70;84;1020;191
12:00;55;55;63;850;150
13:00;60;63;69;920;165
14:00;59;46;75;1000;173
15:00;64;47;66;1030;164
16:00;57;33;57;1080;143
17:00;58;30;73;1210;168
18:00;68;57;59;1100;159
19:00;83;55;114;1560;257
20:00;62;64;75;1200;174
21:00;69;46;60;1060;161
22:00;51;60;47;850;123
23:00;44;39;33;770;94
