CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;279;3670
01:00;82;1400
02:00;73;980
03:00;44;1090
04:00;48;1110
05:00;54;1270
06:00;54;1260
07:00;48;1310
08:00;37;1500
09:00;50;1660
10:00;69;2130
11:00;78;2420
12:00;84;2630
13:00;106;2560
14:00;106;2040
15:00;97;2250
16:00;115;2400
17:00;114;4110
18:00;143;3990
19:00;200;3590
20:00;224;3760
21:00;233;4060
22:00;256;3800
23:00;244;4110
