CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;67;471;151;4750;297
01:00;61;310;149;3310;288
02:00;56;284;117;3060;235
03:00;54;289;128;3290;248
04:00;52;310;107;3410;215
05:00;50;332;135;3530;256
06:00;52;336;165;3530;304
07:00;53;306;172;3590;317
08:00;52;293;190;3870;342
09:00;58;304;211;4050;380
10:00;77;311;281;4560;508
11:00;100;357;323;5230;593
12:00;119;396;293;5360;566
13:00;124;437;272;4550;540
14:00;151;351;279;5340;578
15:00;117;524;166;3950;370
16:00;110;417;242;4200;480
17:00;123;337;325;4780;620
18:00;141;362;517;6030;932
19:00;113;366;297;5290;566
20:00;107;379;336;6060;621
21:00;100;404;301;5910;560
22:00;88;451;252;5360;474
23:00;76;476;166;4880;328
