CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;121;182;1880;400
01:00;79;95;1720;225
02:00;;;1840;
03:00;67;83;1700;194
04:00;60;90;1940;198
05:00;55;102;1860;210
06:00;64;172;1900;327
07:00;77;254;2170;466
08:00;98;249;2440;479
09:00;123;286;2160;561
10:00;131;221;1680;470
11:00;107;120;1180;291
12:00;93;75;820;208
13:00;84;58;810;172
14:00;73;45;590;143
15:00;87;42;770;150
16:00;103;55;840;187
17:00;96;55;740;181
18:00;143;134;1270;348
19:00;179;286;2320;618
20:00;190;507;3160;965
21:00;148;317;2410;633
22:00;131;173;1830;396
23:00;143;204;1840;456
