CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;29;38;19;690;57
01:00;59;39;53;1130;138
02:00;48;39;34;800;99
03:00;38;28;23;730;72
04:00;37;25;20;540;67
05:00;44;17;41;620;105
06:00;43;18;58;700;131
07:00;75;20;156;1620;314
08:00;80;33;179;2160;353
09:00;80;34;185;2030;363
10:00;70;43;172;1660;332
11:00;65;29;155;1520;302
12:00;60;31;134;1460;264
13:00;68;35;134;1340;273
14:00;64;36;135;1390;269
15:00;70;34;134;1600;274
16:00;73;34;148;1860;298
17:00;71;47;153;1810;305
18:00;69;43;127;1640;264
19:00;70;40;120;1590;253
20:00;53;44;74;1290;166
21:00;46;39;52;980;125
22:00;45;40;42;1020;109
23:00;42;42;43;1100;107
