CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;47;58;58;136
01:00;49;42;79;169
02:00;21;34;24;57
03:00;23;38;31;70
04:00;18;27;24;55
05:00;27;17;42;91
06:00;32;25;56;118
07:00;58;39;150;288
08:00;55;56;133;259
09:00;53;57;102;208
10:00;52;71;88;186
11:00;51;64;83;178
12:00;52;65;83;180
13:00;55;59;77;173
14:00;52;54;78;170
15:00;60;54;87;192
16:00;64;62;85;194
17:00;79;56;131;279
18:00;84;52;128;280
19:00;83;48;158;325
20:00;;69;;
21:00;68;71;129;264
22:00;70;72;143;289
23:00;57;70;88;192
