CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;48;700;115
01:00;68;70;1650;175
02:00;65;83;1910;191
03:00;55;33;1430;106
04:00;56;59;1560;145
05:00;61;85;1680;191
06:00;64;118;1860;243
07:00;78;212;2370;401
08:00;78;258;2380;472
09:00;79;213;1740;404
10:00;74;159;1560;316
11:00;71;158;1470;312
12:00;71;141;1450;286
13:00;61;106;1090;222
14:00;69;137;1080;277
15:00;61;111;1000;231
16:00;64;122;1050;251
17:00;64;119;1090;245
18:00;78;157;1370;317
19:00;73;138;1270;284
20:00;63;105;1190;223
21:00;56;87;1030;188
22:00;49;61;960;141
23:00;51;67;1010;153
