CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;39.4769;20.2472;16.949;35.8547;392.061;555.239;94.4
01:00;20.4362;16.5722;14.6737;10.6847;242.317;507.408;36.7
02:00;24.5087;23.5699;16.1097;8.21115;242.792;422.522;37
03:00;17.7447;20.5987;16.4415;6.21629;226;389.262;27.2
04:00;16.2318;19.8745;15.0487;3.82829;229.618;355.63;22
05:00;31.3121;20.1427;15.4068;12.9376;243.498;320.135;51
06:00;52.1484;24.6287;16.0709;36.8589;291.379;296.145;108.5
07:00;72.5914;26.5523;18.2978;87.6211;535.062;317.574;206.5
08:00;84.0609;36.1321;20.6755;117.117;694.492;357.942;263
09:00;82.4716;58.7171;30.7011;120.578;632.576;386.927;266.8
10:00;67.9769;41.232;20.0548;76.7369;511.364;420.499;185.2
11:00;64.5866;42.2586;19.1588;66.4606;457.654;449.455;166.2
12:00;77.2209;39.287;17.5183;83.046;542.521;488.568;204
13:00;80.0537;42.0526;15.8623;76.4581;492.323;519.671;197
14:00;67.5331;37.9757;13.7183;57.8376;396.32;532.789;155.8
15:00;78.4989;35.9856;14.811;63.4664;495.254;527.813;175.5
16:00;85.9883;31.9116;17.101;88.368;582.733;513.843;221.1
17:00;90.8319;36.4418;20.4694;86.1944;624.968;512.892;222.5
18:00;85.6248;30.4456;16.945;82.3204;608.988;525.095;211.4
19:00;74.5528;30.0563;17.525;72.1764;637.614;547.59;184.9
20:00;70.3915;27.3788;17.5132;72.5047;590.289;553.561;181.2
21:00;73.7217;26.5129;18.0865;85.0298;640.103;572.034;203.6
22:00;57.5542;24.8441;19.2728;55.4115;499.782;584.966;142.3
23:00;48.2108;22.2035;18.5806;48.9763;448.108;579.073;123.1
