CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;46;87;33;96
01:00;28;51;26;68
02:00;25;44;16;50
03:00;21;42;11;38
04:00;22;45;14;42
05:00;28;35;27;69
06:00;47;38;109;213
07:00;57;53;182;334
08:00;63;55;176;331
09:00;67;59;225;411
10:00;70;73;169;328
11:00;69;66;163;318
12:00;62;61;116;239
13:00;58;52;113;230
14:00;58;59;120;239
15:00;66;62;147;290
16:00;73;61;173;337
17:00;75;67;206;389
18:00;53;68;86;184
19:00;46;63;73;156
20:00;46;61;73;156
21:00;48;67;84;175
22:00;46;73;56;131
23:00;48;83;53;129
