CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;47;129;24;85
01:00;21;51;9;36
02:00;17;50;7;28
03:00;15;46;6;24
04:00;15;52;5;24
05:00;21;40;7;33
06:00;42;51;40;104
07:00;50;70;87;185
08:00;60;81;140;274
09:00;59;87;138;270
10:00;68;90;160;313
11:00;67;84;154;302
12:00;59;94;133;262
13:00;66;135;127;260
14:00;61;176;97;210
15:00;60;194;96;207
16:00;57;176;78;176
17:00;63;160;88;198
18:00;64;151;109;230
19:00;63;162;113;236
20:00;57;171;84;186
21:00;61;184;75;175
22:00;56;187;59;147
23:00;49;162;42;113
