CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;5.71185;25.2915;91.2735;69.3493;26.1725;838.91;1209.73;65.4437
01:00;8.76491;35.4293;136.694;104.206;32.092;1165.78;1695.35;84.4
02:00;8.35187;;126.029;96.1497;;;1664.85;
03:00;8.62202;27.7523;132.603;99.9045;16.6364;1046.61;1514.49;53.2
04:00;8.14275;29.1345;134.365;100.702;21.0878;1024.63;1374.15;61.3
05:00;7.93464;31.2648;142.149;105.644;36.3795;1055.16;1249.42;86.9
06:00;7.68339;37.9316;134.275;102.087;87.3593;1180.91;1177.21;171.4
07:00;7.87103;47.8936;122.936;93.447;124.867;1331.58;1158.62;238.8
08:00;8.305;53.1878;130.204;96.399;154.72;1494.08;1185.54;290.803
09:00;8.64102;62.3293;135.15;98.8326;238.687;1796.71;1275.67;428.556
10:00;8.85548;59.2956;136.752;97.2459;213.766;1566.31;1312;387.045
11:00;8.42401;56.9585;136.245;96.552;214.96;1484.79;1366.77;386.809
12:00;8.16523;45.6367;136.434;94.4901;140.234;1423.56;1416.64;260.637
13:00;7.72284;47.9217;124.596;87.9198;155.948;1256.39;1441.79;287.062
14:00;7.50834;50.6653;124.406;86.7235;154.55;1261.12;1451.82;287.821
15:00;8.02917;57.365;142.216;96.6753;196.958;1591.39;1484.29;359.396
16:00;8.48304;63.0296;148.614;102.354;203.548;1707.51;1510.97;375.232
17:00;8.82957;55.4116;133.418;94.2192;175.956;1535.6;1478.33;325.258
18:00;8.93011;55.5684;137.259;98.3295;205.548;1637.88;1487.28;370.818
19:00;8.31616;52.6197;117.375;87.071;162.353;1345.51;1469.87;301.651
20:00;8.10372;45.8578;121.544;91.1547;138.381;1360.08;1461.94;258.267
21:00;7.67073;35.5754;126.337;94.0338;83.6574;1148.27;1448.42;164.111
22:00;6.41232;29.5734;95.3091;70.7215;59.616;928.44;1406.83;121
23:00;6.01136;25.7713;94.8456;71.6015;36.4592;883.15;1318.31;81.7053
