CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;40;53;57;910;128
01:00;34;49;30;700;79
02:00;22;31;12;470;41
03:00;28;46;14;360;49
04:00;26;22;13;350;47
05:00;25;17;15;310;49
06:00;31;13;26;360;72
07:00;44;24;62;680;138
08:00;41;22;61;700;134
09:00;40;30;47;640;111
10:00;43;40;53;710;124
11:00;43;46;48;770;117
12:00;48;18;52;700;128
13:00;48;30;51;720;126
14:00;55;35;53;1020;135
15:00;62;46;72;1200;173
16:00;56;25;59;960;147
17:00;74;38;103;1470;233
18:00;79;26;125;1800;270
19:00;78;49;170;1930;337
20:00;66;51;123;1440;254
21:00;62;67;130;1450;260
22:00;58;81;147;1460;282
23:00;46;47;78;990;165
