CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;78;103;112;249
01:00;62;86;64;158
02:00;42;88;51;120
03:00;38;82;53;118
04:00;34;81;41;97
05:00;33;79;48;105
06:00;46;73;134;250
07:00;55;78;207;371
08:00;65;75;212;389
09:00;87;86;201;393
10:00;91;107;141;306
11:00;83;97;93;223
12:00;85;82;78;202
13:00;86;69;71;193
14:00;81;62;54;162
15:00;93;46;71;201
16:00;102;31;69;205
17:00;113;36;71;220
18:00;110;39;78;229
19:00;144;42;165;395
20:00;165;52;268;574
21:00;147;78;305;612
22:00;108;90;175;374
23:00;95;99;174;360
