CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;70;100;153;2620;303
01:00;57;211;145;2980;279
02:00;56;153;64;1640;152
03:00;52;98;76;1180;168
04:00;36;59;24;680;72
05:00;35;22;43;650;100
06:00;64;25;157;1180;303
07:00;68;38;186;1630;352
08:00;88;55;343;2800;613
09:00;100;85;385;3070;688
10:00;102;94;223;2630;444
11:00;84;72;147;2060;308
12:00;65;77;113;1420;236
13:00;77;25;163;2010;326
14:00;89;31;173;2090;351
15:00;67;39;119;1680;248
16:00;77;42;136;2050;284
17:00;101;53;236;3420;462
18:00;94;80;275;3390;513
19:00;95;93;269;3480;507
20:00;93;119;260;3760;490
21:00;89;113;269;3170;501
22:00;77;107;160;2290;321
23:00;72;110;169;2370;330
