CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;56;590
01:00;165;1570
02:00;193;1430
03:00;175;1490
04:00;198;1600
05:00;186;1290
06:00;193;1490
07:00;161;1810
08:00;127;1380
09:00;100;1090
10:00;86;1040
11:00;77;1320
12:00;60;1670
13:00;85;1290
14:00;80;1290
15:00;77;1590
16:00;81;1400
17:00;86;1320
18:00;92;1010
19:00;78;1230
20:00;69;1170
21:00;71;1060
22:00;72;850
23:00;64;700
