CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;20;39;14;42
01:00;46;195;46;116
02:00;40;191;29;85
03:00;34;181;29;78
04:00;26;178;15;49
05:00;24;160;17;51
06:00;28;148;20;59
07:00;36;114;40;97
08:00;43;122;58;132
09:00;53;83;93;195
10:00;45;132;65;143
11:00;46;131;54;130
12:00;43;131;45;110
13:00;32;118;34;84
14:00;36;102;36;89
15:00;32;86;31;79
16:00;35;69;34;86
17:00;34;77;31;80
18:00;42;55;45;110
19:00;38;57;41;101
20:00;35;60;38;93
21:00;40;68;43;105
22:00;33;63;32;82
23:00;27;54;20;58
