CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;1.0872;51.8944;52.6962;27.4299;66.3487;515.994;871.505;153.2
01:00;0.867972;41.5807;35.876;25.8996;40.858;423.358;816.595;104.1
02:00;;;;;;;;
03:00;;;;;;;;
04:00;;;;;;;;
05:00;;;;;;;;
06:00;;;;;;;;
07:00;;;;;;;;
08:00;;;;;;;;
09:00;;;;;;;;
10:00;;;;;;;;
11:00;;;;;;;;
12:00;0.927101;42.3405;35.1306;16.1537;101.075;568.19;;196.8
13:00;0.842424;65.3491;27.0897;13.0943;114.511;697.96;;240.3
14:00;0.981941;69.3255;20.766;11.1399;117.138;656.75;;248.2
15:00;0.859349;72.8784;26.6449;12.1304;117.533;622.13;;252.4
16:00;1.14492;74.8626;22.7022;9.86262;110.943;661.25;;244.3
17:00;1.66755;93.5909;37.4923;17.5751;178.501;862.64;678.153;366.4
18:00;1.74999;92.8661;39.4208;17.5316;181.957;922.31;713.033;371
19:00;1.94513;93.5521;40.5694;19.7513;206.549;964.72;744.494;409.1
20:00;2.3962;85.9548;56.2488;29.5353;197.665;1060.61;806.046;388.1
21:00;1.99141;86.2763;51.0362;27.3681;195.866;976.56;840.871;385.6
22:00;2.16574;76.5126;46.0579;26.7571;148.922;904.79;871.876;304
23:00;1.60399;66.2467;55.8556;27.9086;124.029;764.42;889.663;255.7
