CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;95;143;3350;314
01:00;90;178;3210;362
02:00;77;87;3070;210
03:00;78;136;3190;286
04:00;73;99;3230;223
05:00;72;127;3470;266
06:00;80;184;3650;362
07:00;81;209;4020;402
08:00;87;264;4210;491
09:00;;;4610;
10:00;119;344;4600;646
11:00;100;180;2910;375
12:00;82;97;1990;230
13:00;78;91;1110;217
14:00;91;121;1260;275
15:00;84;80;1130;206
16:00;107;134;1330;311
17:00;104;144;1300;324
18:00;120;169;1450;379
19:00;126;145;1620;348
20:00;138;267;2840;547
21:00;121;172;3070;384
22:00;112;174;3110;378
23:00;108;169;3550;367
