CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;50;47;44;35;320;103
01:00;41;37;35;32;260;88
02:00;41;37;32;100;560;191
03:00;39;34;29;104;610;197
04:00;38;36;31;98;530;186
05:00;36;39;33;91;410;174
06:00;38;37;32;126;430;229
07:00;43;33;27;173;630;305
08:00;53;38;28;209;770;370
09:00;76;52;40;267;1110;483
10:00;79;61;31;209;970;397
11:00;82;54;28;173;930;346
12:00;74;34;20;100;530;225
13:00;78;15;10;93;460;219
14:00;79;14;8;75;400;193
15:00;96;14;9;95;540;240
16:00;123;18;9;143;670;341
17:00;131;23;13;172;820;392
18:00;129;30;17;172;920;392
19:00;139;43;27;252;1330;523
20:00;112;40;31;184;1110;393
21:00;91;46;37;119;1060;273
22:00;71;45;39;66;440;171
23:00;68;54;50;71;450;175
