CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;63;39;27;49;138
01:00;56;36;27;38;112
02:00;35;15;;24;70
03:00;28;19;;18;55
04:00;37;18;;27;76
05:00;34;29;;26;72
06:00;56;37;;75;169
07:00;71;41;;131;269
08:00;79;;;162;326
09:00;80;;;183;359
10:00;90;;;199;393
11:00;77;49;;140;290
12:00;69;52;31;127;261
13:00;80;56;28;115;255
14:00;97;47;28;125;287
15:00;96;76;24;94;238
16:00;109;59;33;147;333
17:00;116;46;26;132;317
18:00;114;46;24;112;283
19:00;109;51;29;150;336
20:00;104;54;31;144;323
21:00;95;46;30;114;269
22:00;90;42;27;82;214
23:00;83;42;27;82;206
