CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;59;120;1330;242
01:00;47;96;1050;193
02:00;50;50;650;125
03:00;49;47;650;121
04:00;49;54;710;130
05:00;45;43;620;111
06:00;40;45;610;110
07:00;47;87;770;178
08:00;48;95;840;191
09:00;49;85;1180;178
10:00;54;114;1400;228
11:00;62;129;1540;258
12:00;63;79;1230;183
13:00;66;73;1120;176
14:00;81;84;1760;209
15:00;86;102;1720;241
16:00;98;96;1420;244
17:00;102;89;1400;238
18:00;98;98;1100;248
19:00;117;188;1620;405
20:00;125;329;2560;628
21:00;91;174;1770;356
22:00;78;159;1620;320
23:00;67;159;1460;310
