CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;34;19;22;700;68
01:00;24;23;9;490;38
02:00;33;108;81;1570;157
03:00;31;90;71;1320;141
04:00;32;84;89;1290;168
05:00;41;75;203;1800;352
06:00;59;85;333;2500;568
07:00;65;101;331;3190;570
08:00;98;140;506;4050;872
09:00;100;190;440;3780;771
10:00;104;237;319;3480;591
11:00;113;235;252;3120;498
12:00;96;205;191;2230;388
13:00;73;182;102;1500;228
14:00;64;162;77;1200;182
15:00;61;99;64;1220;159
16:00;61;61;69;1320;166
17:00;67;55;103;1640;224
18:00;75;45;151;2190;306
19:00;66;70;128;1740;262
20:00;53;89;54;1110;135
21:00;60;93;63;960;156
22:00;39;56;31;770;87
23:00;35;27;22;700;69
