CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;87;45;89;222
01:00;73;53;59;161
02:00;60;70;73;170
03:00;50;71;57;136
04:00;42;68;49;117
05:00;39;67;60;131
06:00;43;60;134;247
07:00;70;77;242;439
08:00;79;91;213;403
09:00;99;101;173;363
10:00;94;87;101;248
11:00;101;69;88;235
12:00;97;83;67;199
13:00;116;64;88;249
14:00;113;59;84;238
15:00;101;56;80;223
16:00;99;58;83;225
17:00;76;51;62;170
18:00;91;45;70;198
19:00;92;54;79;211
20:00;94;48;75;207
21:00;100;60;110;267
22:00;89;67;91;226
23:00;86;55;96;231
