CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;67;50;970;142
01:00;56;43;800;122
02:00;22;8;470;35
03:00;22;6;420;32
04:00;26;8;430;39
05:00;36;16;480;61
06:00;48;37;550;105
07:00;59;73;800;171
08:00;78;134;1270;282
09:00;84;108;1130;248
10:00;80;92;1050;220
11:00;85;76;1010;199
12:00;86;66;1000;185
13:00;84;53;950;165
14:00;80;45;810;149
15:00;100;56;960;184
16:00;92;55;980;176
17:00;93;62;1160;188
18:00;104;65;1080;203
19:00;111;64;1080;208
20:00;114;57;1020;201
21:00;119;73;1120;229
22:00;109;94;1640;252
23:00;93;83;1300;220
