CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;8.45836;51.1483;124.575;81.8293;157.243;1670.77;1638.77;292.394
01:00;7.82484;40.4892;120.805;82.0799;127.401;1644.31;1732.58;235.979
02:00;7.59271;37.4507;118.519;80.8962;107.828;1457.73;1757.89;202.87
03:00;6.89673;32.9599;116.011;80.5014;99.7212;1385.33;1737.79;185.931
04:00;6.00233;30.7621;107.312;74.4436;95.5763;1378.32;1669.92;177.385
05:00;4.75092;28.7657;96.6369;66.6808;95.8798;1147.61;1538.13;175.811
06:00;4.09193;35.8114;86.6002;58.2714;104.582;1077.74;1445.41;196.128
07:00;4.25921;27.6843;78.4189;53.1098;112.105;1024.57;1348.3;199.656
08:00;4.25649;39.0146;83.3968;52.8302;187.512;1307.12;1302.84;326.667
09:00;4.86052;53.5656;78.8919;48.0641;220.245;1253.63;1254.01;391.482
10:00;2.1193;78.6238;60.5789;34.6626;228.471;1453.33;1253.46;429.058
11:00;1.22227;56.4898;34.6558;18.6056;86.59;660.53;1162.86;189.212
12:00;1.15258;75.9615;26.3864;13.5237;88.1778;716.6;1080.14;211.207
13:00;0.89572;62.6306;20.3269;9.69738;54.7371;507.87;1000.17;146.563
14:00;0.794387;63.0806;16.5266;6.912;47.9118;522.77;930.803;136.579
15:00;1.22423;73.5745;16.1947;7.86044;62.8976;643.95;883.225;170.042
16:00;1.61651;80.4847;17.5403;8.88972;69.973;748.74;813.428;187.829
17:00;1.81894;104.584;22.6998;10.3586;105.391;818.94;759.091;266.316
18:00;3.22698;115.82;37.3421;15.2333;184.771;1284.33;737.966;399.497
19:00;3.95466;123.725;39.6338;20.2468;212.707;1603.06;855.783;449.802
20:00;4.60198;116.569;44.4795;25.2944;206.892;1419.37;943.629;433.871
21:00;4.24764;114.24;53.6784;29.4827;223.863;1902.55;1117.96;457.604
22:00;3.33212;72.2923;58.1057;32.5788;98.6786;967.8;1202.99;223.73
23:00;3.45863;62.5487;56.8281;33.0567;94.1852;955.37;1249.26;207.09
00:00;2.48237;52.7531;58.5509;35.001;60.0288;815.81;1278.77;144.835
