CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;66.7701;136.845;67.7869;57.9716;957.5;1014.48;155.4
01:00;70.2943;308.796;106.23;68.4866;1308.77;1354.43;174.9
02:00;60.2792;240.015;107.392;49.818;1491.09;1417.57;136.4
03:00;57.0446;206.866;103.229;42.1864;1645.48;1497.13;121.5
04:00;51.7371;245.22;110.548;60.2651;1454.03;1540.84;143.8
05:00;52.0118;211.166;108.966;84.7167;1223.14;1517.69;181.5
06:00;54.833;213.014;109.533;134.842;1426.14;1540.81;260.9
07:00;72.339;202.833;105.729;261.34;1897.87;1542.58;471.7
08:00;92.3458;201.344;102.293;310.774;2238.13;1585.58;567.2
09:00;101.467;208.165;86.0195;268.768;1742.72;1639.82;512.1
10:00;94.4597;128.998;53.3561;145.342;941.93;1571.18;316.5
11:00;86.5156;103.48;41.0517;107.223;823.323;1468.41;250.4
12:00;;85.3053;34.1726;;;1470.46;
13:00;94.879;85.8188;37.1526;105.226;790.128;1408.61;255.7
14:00;96.6076;89.2264;34.3075;96.2532;795.312;1318.49;243.7
15:00;92.7848;72.078;31.1417;85.6845;791.231;1160.4;223.7
16:00;81.5666;80.4053;36.6248;64.4439;728.48;944.732;180.1
17:00;78.5876;101.811;46.4615;59.4885;812.234;811.805;169.5
18:00;83.7347;113.507;54.4001;75.9659;911.37;807.44;199.8
19:00;84.2506;122.143;64.9862;81.6833;1004.42;833.311;209.1
20:00;93.6217;147.155;79.1946;145.556;1295.67;891.106;316
21:00;80.0447;122.123;71.0771;96.3533;1087.68;928.3;227.3
22:00;79.1993;124.655;68.1591;92.5745;1009.49;955.072;220.7
23:00;77.6561;184.475;74.8363;99.8684;1037.47;985.852;230.3
