CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;56;98;76;171
01:00;50;81;67;152
02:00;45;174;55;129
03:00;39;136;73;151
04:00;34;120;46;106
05:00;31;102;75;146
06:00;29;92;59;119
07:00;28;93;97;177
08:00;37;80;111;207
09:00;48;81;104;207
10:00;53;91;84;182
11:00;56;51;64;155
12:00;63;27;42;127
13:00;67;13;41;129
14:00;65;21;37;122
15:00;81;9;60;173
16:00;73;16;43;139
17:00;90;32;65;190
18:00;113;52;108;279
19:00;134;54;249;515
20:00;118;132;267;527
21:00;;101;;
22:00;77;90;144;297
23:00;63;101;121;248
