CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;62;33;37;750;118
01:00;61;24;38;670;119
02:00;41;28;29;540;86
03:00;33;26;20;400;65
04:00;28;26;25;400;66
05:00;27;27;31;390;75
06:00;41;;99;590;192
07:00;48;;147;1250;272
08:00;65;;142;1100;283
09:00;76;;118;840;256
10:00;70;;90;740;207
11:00;75;;73;780;187
12:00;67;;56;630;152
13:00;83;;64;850;181
14:00;85;;69;790;190
15:00;97;;83;1110;225
16:00;96;;106;1300;258
17:00;82;;69;850;187
18:00;91;;80;1050;212
19:00;89;;86;1220;220
20:00;73;;66;850;175
21:00;69;;55;690;152
22:00;80;;64;890;177
23:00;64;;49;840;138
