CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;55;74;63;144;890;273
01:00;47;73;65;121;730;229
02:00;58;85;73;61;540;150
03:00;53;79;71;50;510;129
04:00;47;84;76;44;430;114
05:00;57;68;58;90;450;194
06:00;64;70;59;102;550;220
07:00;89;70;61;176;860;358
08:00;90;64;53;160;820;331
09:00;81;63;52;173;810;345
10:00;78;38;33;173;670;342
11:00;77;31;27;141;520;292
12:00;69;33;22;123;450;256
13:00;73;32;18;123;480;259
14:00;81;24;14;111;490;250
15:00;75;23;14;83;410;202
16:00;94;22;16;102;580;249
17:00;96;24;14;103;700;253
18:00;88;27;17;145;640;309
19:00;105;48;27;144;880;326
20:00;117;48;30;272;1450;532
21:00;104;53;41;278;1440;529
22:00;80;64;50;176;1040;348
23:00;73;63;50;167;980;328
