CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;49;51;22;680;83
01:00;39;31;10;570;53
02:00;35;31;28;940;78
03:00;27;26;18;840;54
04:00;28;26;24;790;66
05:00;36;30;61;1000;129
06:00;42;38;66;1080;142
07:00;45;26;102;1410;201
08:00;52;29;100;1400;204
09:00;64;46;101;1360;218
10:00;68;72;89;1190;204
11:00;58;63;44;900;125
12:00;70;51;51;900;149
13:00;64;31;43;800;130
14:00;59;31;38;900;116
15:00;73;31;56;850;157
16:00;72;32;47;860;143
17:00;85;27;65;970;184
18:00;74;26;47;890;145
19:00;80;35;60;1080;171
20:00;86;30;85;1350;215
21:00;65;36;44;990;133
22:00;58;58;46;930;129
23:00;44;39;28;750;87
