CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;38;23;30;810;83
01:00;28;26;11;640;43
02:00;20;33;5;460;26
03:00;21;45;7;420;30
04:00;15;25;4;360;22
05:00;20;11;9;500;33
06:00;51;8;50;730;127
07:00;94;15;135;1240;299
08:00;96;24;143;1900;313
09:00;84;50;155;1750;321
10:00;;52;;;
11:00;81;32;115;1310;257
12:00;96;48;143;1760;314
13:00;91;34;109;1180;259
14:00;78;35;123;1140;260
15:00;85;44;106;1320;247
16:00;86;33;121;1490;272
17:00;78;40;127;1490;271
18:00;85;49;114;1520;259
19:00;80;55;120;1560;263
20:00;89;50;196;2170;389
21:00;79;62;163;1800;328
22:00;71;50;96;1410;218
23:00;61;46;77;1170;179
