CZAS;Dwutlenek azotu;Tlenek azotu;Tlenki azotu
00:00;58;47;129
01:00;50;32;98
02:00;34;54;117
03:00;29;22;62
04:00;25;16;50
05:00;27;25;66
06:00;37;82;163
07:00;49;152;281
08:00;42;124;232
09:00;48;128;244
10:00;47;121;231
11:00;55;111;226
12:00;53;99;204
13:00;56;63;153
14:00;59;52;138
15:00;61;45;131
16:00;69;60;162
17:00;64;48;137
18:00;;;
19:00;106;132;307
20:00;106;190;397
21:00;88;140;302
22:00;78;122;264
23:00;70;88;205
