CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;31;13;470;61
01:00;46;36;17;490;71
02:00;61;56;27;750;102
03:00;48;41;23;550;83
04:00;49;44;45;580;117
05:00;58;43;96;850;205
06:00;79;56;158;1720;320
07:00;78;83;113;1790;251
08:00;79;86;100;1640;232
09:00;67;98;72;1150;176
10:00;57;83;51;900;135
11:00;71;81;65;980;169
12:00;67;47;64;840;165
13:00;72;34;60;800;163
14:00;69;56;57;1020;156
15:00;69;66;47;1020;140
16:00;74;77;47;1110;145
17:00;78;66;47;1180;149
18:00;69;46;37;950;125
19:00;88;38;70;1400;196
20:00;102;52;110;1610;271
21:00;75;65;58;1010;163
22:00;58;54;35;670;111
23:00;50;61;26;710;89
