CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;39;46;630;110
01:00;37;39;740;96
02:00;39;38;770;97
03:00;37;40;760;99
04:00;37;35;750;92
05:00;42;56;670;129
06:00;53;140;950;267
07:00;66;227;1690;413
08:00;69;270;1820;481
09:00;71;222;1520;410
10:00;64;159;1030;307
11:00;65;151;1070;296
12:00;57;101;750;211
13:00;64;115;990;241
14:00;66;146;1010;290
15:00;64;160;1170;310
16:00;65;169;1650;324
17:00;66;181;1630;343
18:00;72;194;1770;369
19:00;61;172;1580;324
20:00;61;135;1260;267
21:00;56;110;1230;223
22:00;53;95;990;198
23:00;46;69;790;151
