CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;51;63;32;99
01:00;38;48;22;70
02:00;54;74;45;122
03:00;45;76;32;92
04:00;41;73;35;94
05:00;35;65;38;92
06:00;42;73;82;167
07:00;48;74;173;311
08:00;61;83;174;325
09:00;76;97;172;337
10:00;81;104;135;287
11:00;95;105;102;251
12:00;83;93;57;169
13:00;86;79;56;170
14:00;87;74;58;174
15:00;111;63;68;214
16:00;117;53;78;236
17:00;116;62;73;226
18:00;126;63;88;259
19:00;119;63;70;223
20:00;136;68;115;311
21:00;120;80;109;286
22:00;89;80;82;212
23:00;70;71;55;153
