CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;15;16;10;420;31
01:00;17;9;11;470;35
02:00;20;24;13;400;39
03:00;16;23;8;410;28
04:00;16;21;9;400;29
05:00;17;13;17;420;42
06:00;20;15;22;460;53
07:00;28;10;33;530;78
08:00;27;10;32;580;76
09:00;29;34;33;610;80
10:00;25;15;30;610;71
11:00;38;4;43;860;104
12:00;44;4;46;930;114
13:00;48;9;68;1090;151
14:00;66;24;82;1830;191
15:00;52;33;84;1630;180
16:00;63;23;115;1860;239
17:00;61;17;100;1720;214
18:00;66;32;125;2020;258
19:00;36;50;64;1130;134
20:00;46;43;85;1170;173
21:00;34;27;42;830;97
22:00;31;33;33;680;82
23:00;17;31;13;460;37
