CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;103;55;27;83;1110;226
01:00;84;59;30;47;860;153
02:00;61;47;30;33;570;108
03:00;54;40;30;24;490;87
04:00;52;41;34;30;470;95
05:00;48;36;30;39;400;103
06:00;58;42;33;96;520;201
07:00;78;48;38;168;730;331
08:00;80;59;42;157;820;317
09:00;89;50;35;112;900;256
10:00;108;43;27;127;1130;299
11:00;107;38;22;69;1110;208
12:00;119;38;19;72;1260;225
13:00;105;29;16;58;1130;190
14:00;94;27;14;41;980;154
15:00;91;21;12;42;900;152
16:00;114;23;13;59;1200;201
17:00;109;26;16;39;1170;165
18:00;114;23;14;52;1180;189
19:00;95;22;12;44;1040;160
20:00;104;28;14;55;1050;186
21:00;131;33;15;94;1390;272
22:00;127;70;27;122;1370;310
23:00;127;67;28;147;1370;349
