CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;78;229;223;456;5360;775
01:00;80;238;229;437;5060;748
02:00;65;254;241;346;4460;594
03:00;43;;;127;2580;236
04:00;41;;;107;2210;205
05:00;41;;;123;2300;228
06:00;54;200;186;252;2790;439
07:00;76;168;166;410;3530;704
08:00;93;181;175;454;3910;787
09:00;93;175;167;432;3970;754
10:00;86;169;159;338;3080;603
11:00;112;175;164;404;3320;729
12:00;143;177;166;481;3720;878
13:00;136;188;177;331;3430;643
14:00;123;179;166;303;3280;587
15:00;134;169;154;439;3580;805
16:00;197;182;167;860;6740;1507
17:00;197;173;164;902;6680;1574
18:00;181;183;172;835;6230;1458
19:00;128;188;180;570;5310;1000
20:00;128;196;189;625;5700;1085
21:00;112;197;191;519;5150;905
22:00;100;208;202;506;5210;873
23:00;96;212;208;509;5430;874
