CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;47;89;80;28;660;89
01:00;39;74;64;15;660;61
02:00;40;99;74;10;660;55
03:00;39;96;71;11;560;55
04:00;36;105;79;9;610;48
05:00;49;110;82;12;870;66
06:00;60;95;78;37;940;116
07:00;69;74;64;88;1000;203
08:00;75;66;58;109;900;242
09:00;84;76;63;139;1030;297
10:00;82;88;69;138;1000;294
11:00;79;96;72;128;900;274
12:00;82;121;82;112;860;252
13:00;85;117;81;120;950;269
14:00;87;115;84;102;930;243
15:00;97;94;70;113;1080;269
16:00;98;90;66;130;1230;297
17:00;92;84;64;119;1110;273
18:00;100;78;60;122;1190;287
19:00;94;92;73;119;1300;276
20:00;94;100;79;120;1520;277
21:00;82;87;74;93;1140;225
22:00;67;97;85;63;950;163
23:00;62;93;81;58;850;150
