CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;94;115;105;2410
01:00;78;109;102;2020
02:00;75;72;58;860
03:00;67;63;55;930
04:00;69;66;55;910
05:00;64;65;53;880
06:00;70;71;55;960
07:00;74;61;50;1080
08:00;78;60;48;1120
09:00;83;71;54;1640
10:00;90;75;54;1390
11:00;83;62;46;1050
12:00;101;57;41;1210
13:00;97;49;34;860
14:00;107;42;29;740
15:00;115;34;25;860
16:00;140;35;26;1060
17:00;143;40;28;1040
18:00;154;46;34;1540
19:00;157;60;43;1940
20:00;150;75;55;2020
21:00;128;83;69;1860
22:00;116;107;92;2000
23:00;95;115;104;2060
