CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;51;66;36;106
01:00;49;71;42;113
02:00;81;89;177;352
03:00;68;62;83;194
04:00;56;67;34;108
05:00;63;54;40;124
06:00;73;40;79;192
07:00;78;51;97;226
08:00;81;48;152;313
09:00;71;61;96;218
10:00;43;57;56;128
11:00;31;59;46;101
12:00;27;60;45;96
13:00;26;32;41;89
14:00;31;35;40;92
15:00;35;25;41;98
16:00;39;41;36;95
17:00;39;41;36;95
18:00;44;36;38;102
19:00;50;29;40;111
20:00;61;24;46;131
21:00;83;28;106;245
22:00;78;53;94;222
23:00;69;75;71;178
