CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;80;54;29;61;810;173
01:00;58;52;29;33;580;109
02:00;71;93;51;54;860;152
03:00;66;84;46;43;600;130
04:00;50;100;56;29;520;93
05:00;53;97;55;38;540;109
06:00;53;96;54;43;590;116
07:00;60;94;52;70;620;166
08:00;62;94;53;79;830;182
09:00;65;111;61;75;1090;178
10:00;71;109;60;81;1250;195
11:00;78;82;43;78;1210;195
12:00;67;58;31;51;730;144
13:00;73;40;22;54;540;154
14:00;87;36;18;61;600;179
15:00;77;30;14;47;560;148
16:00;86;28;14;45;610;154
17:00;89;23;12;51;550;167
18:00;82;24;12;44;550;149
19:00;118;46;20;79;1040;237
20:00;114;37;19;102;1040;269
21:00;110;51;27;99;1250;261
22:00;105;54;29;103;1100;262
23:00;95;54;29;93;1020;235
