CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;87;69;49;161
01:00;80;69;45;149
02:00;65;;34;117
03:00;65;;34;117
04:00;63;;37;118
05:00;64;;58;152
06:00;71;;130;270
07:00;90;;238;454
08:00;104;;274;523
09:00;102;;191;393
10:00;102;;144;322
11:00;107;97;144;327
12:00;97;92;84;225
13:00;90;77;60;181
14:00;88;75;54;171
15:00;98;76;67;201
16:00;111;65;76;227
17:00;134;58;99;286
18:00;125;60;100;278
19:00;146;72;162;394
20:00;118;65;82;243
21:00;128;66;97;276
22:00;117;78;106;279
23:00;104;84;83;230
