CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;75;117;78;201;1690;384
01:00;64;104;70;148;1280;293
02:00;54;50;34;28;350;99
03:00;46;50;36;25;340;87
04:00;48;51;37;33;330;102
05:00;49;54;38;48;360;125
06:00;59;59;40;91;480;199
07:00;78;64;44;175;1020;346
08:00;86;70;40;146;980;312
09:00;75;66;35;90;640;214
10:00;94;65;33;120;650;278
11:00;90;63;32;98;560;242
12:00;93;55;32;113;680;267
13:00;102;55;37;143;770;323
14:00;97;46;35;135;830;305
15:00;115;48;37;179;1130;390
16:00;105;49;36;162;1290;354
17:00;104;48;37;156;1410;346
18:00;102;59;41;165;1480;358
19:00;95;66;45;149;1040;326
20:00;101;84;57;160;1220;348
21:00;107;83;56;174;1370;375
22:00;101;92;61;215;1700;432
23:00;84;89;59;211;1600;410
