CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;39;18;23;730;74
01:00;31;25;15;580;53
02:00;18;32;4;430;24
03:00;25;14;9;410;40
04:00;25;8;11;400;42
05:00;36;28;27;560;78
06:00;53;28;71;1040;161
07:00;52;29;69;1120;157
08:00;47;40;49;880;121
09:00;45;58;46;880;115
10:00;62;68;78;1270;180
11:00;72;45;107;1650;237
12:00;72;35;92;1490;212
13:00;75;52;95;1550;219
14:00;77;62;91;1560;216
15:00;72;53;70;1320;178
16:00;69;54;72;1310;178
17:00;76;37;76;1350;191
18:00;78;46;91;1980;216
19:00;78;55;83;1350;205
20:00;92;44;125;2500;283
21:00;80;37;100;1720;233
22:00;48;53;37;780;104
23:00;33;48;18;620;61
