CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;63;38;30;68;167
01:00;64;36;30;76;179
02:00;36;29;25;22;68
03:00;31;29;26;20;61
04:00;32;28;24;23;66
05:00;37;21;18;22;70
06:00;49;20;17;43;113
07:00;55;21;18;53;135
08:00;55;25;22;61;147
09:00;48;23;21;49;122
10:00;46;17;15;43;112
11:00;50;16;15;54;131
12:00;59;18;12;55;142
13:00;49;11;7;45;116
14:00;59;10;6;55;142
15:00;61;15;7;55;145
16:00;55;18;9;44;121
17:00;61;14;9;54;143
18:00;53;15;10;46;122
19:00;56;12;8;44;121
20:00;77;16;12;64;173
21:00;74;14;12;58;161
22:00;80;22;17;80;201
23:00;76;31;24;89;212
