CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;73;35;23;66;890;174
01:00;52;36;25;38;770;110
02:00;31;40;27;10;550;46
03:00;28;38;26;12;490;46
04:00;31;38;27;23;520;66
05:00;27;38;27;36;560;83
06:00;36;40;27;80;660;158
07:00;47;39;27;148;1060;272
08:00;55;40;29;176;1090;324
09:00;68;39;27;172;1190;330
10:00;81;50;32;159;1120;324
11:00;80;34;22;88;880;215
12:00;74;31;20;54;680;157
13:00;67;33;20;42;730;131
14:00;86;31;17;60;790;176
15:00;89;29;17;63;740;185
16:00;105;32;19;81;980;229
17:00;121;29;17;100;1050;274
18:00;118;29;17;89;1050;254
19:00;107;28;17;80;990;228
20:00;89;28;17;49;830;164
21:00;79;28;17;52;810;158
22:00;79;30;19;61;900;172
23:00;69;29;20;34;800;120
