CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;82;84;47;323;2040;576
01:00;61;76;47;192;1540;354
02:00;62;92;62;35;940;115
03:00;65;90;60;47;900;135
04:00;64;83;56;49;870;138
05:00;68;85;57;86;930;200
06:00;72;84;56;143;1110;290
07:00;85;82;54;219;1600;419
08:00;109;82;52;342;2110;631
09:00;107;87;52;360;1840;655
10:00;98;64;39;217;1290;429
11:00;84;46;26;107;760;246
12:00;65;28;14;59;460;155
13:00;59;23;12;55;390;143
14:00;42;23;11;65;;141
15:00;;23;12;;470;
16:00;59;23;12;60;500;150
17:00;55;24;13;61;510;148
18:00;83;29;16;116;770;260
19:00;97;42;24;154;1010;332
20:00;95;48;29;157;1170;335
21:00;99;53;31;209;1500;419
22:00;103;73;41;327;1970;603
23:00;87;74;44;284;1930;522
