CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;77;170;2400;337
01:00;83;171;2110;344
02:00;69;146;1770;292
03:00;62;111;1580;232
04:00;55;103;1570;212
05:00;50;74;1500;163
06:00;58;131;1540;258
07:00;68;173;1710;332
08:00;71;148;1750;297
09:00;75;106;1770;237
10:00;99;119;1380;282
11:00;92;90;1430;230
12:00;98;87;1380;231
13:00;73;51;850;151
14:00;83;57;860;172
15:00;88;75;910;203
16:00;107;102;920;264
17:00;125;139;1070;338
18:00;147;226;1540;495
19:00;172;415;2640;806
20:00;151;356;2640;695
21:00;112;180;2420;387
22:00;97;180;2460;372
23:00;85;173;2470;350
