CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;53;131;34;105
01:00;49;214;94;191
02:00;42;197;82;168
03:00;38;192;78;156
04:00;34;191;71;142
05:00;39;200;133;242
06:00;44;198;223;384
07:00;52;201;250;435
08:00;69;227;372;639
09:00;113;270;460;816
10:00;;252;;
11:00;85;343;201;392
12:00;74;;227;421
13:00;79;;105;238
14:00;69;81;66;170
15:00;81;82;79;201
16:00;89;73;85;219
17:00;83;80;79;203
18:00;99;84;112;269
19:00;96;89;127;289
20:00;109;98;182;386
21:00;108;114;232;462
22:00;101;124;163;350
23:00;75;145;54;157
