CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;49;154;125;51;1050;131
01:00;49;161;133;103;1720;212
02:00;30;65;54;22;550;67
03:00;20;51;42;13;360;40
04:00;20;51;43;12;310;39
05:00;26;62;52;23;370;63
06:00;47;65;53;88;520;186
07:00;51;65;54;121;710;240
08:00;;55;46;;900;
09:00;69;51;41;198;980;379
10:00;66;52;42;182;900;351
11:00;61;46;37;177;800;338
12:00;75;42;34;206;870;398
13:00;64;41;32;118;650;253
14:00;53;44;37;72;590;167
15:00;52;44;36;68;600;162
16:00;53;44;38;88;800;193
17:00;67;56;48;121;1080;259
18:00;72;51;43;116;850;257
19:00;76;75;61;154;1130;320
20:00;72;107;84;153;1140;314
21:00;65;111;87;108;990;237
22:00;59;109;88;88;930;199
23:00;60;138;110;91;1260;206
