CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;159;3960;285
01:00;37;135;2690;243
02:00;41;134;2420;246
03:00;38;113;2290;210
04:00;48;164;2250;299
05:00;79;495;3430;836
06:00;91;540;4080;916
07:00;;;;
08:00;82;306;2560;549
09:00;88;210;2060;410
10:00;78;184;1680;359
11:00;96;222;2150;436
12:00;83;165;1720;335
13:00;56;103;1250;214
14:00;63;111;1420;232
15:00;88;266;3040;495
16:00;91;300;3390;551
17:00;88;290;2910;531
18:00;;;4400;
19:00;;;4910;
20:00;;;6830;
21:00;;;5910;
22:00;;;6930;
23:00;49;181;4580;325
