CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;66;62;920;160
01:00;49;42;730;114
02:00;39;56;720;125
03:00;37;56;660;123
04:00;31;46;680;101
05:00;28;42;540;92
06:00;26;58;680;115
07:00;30;68;570;134
08:00;33;45;480;103
09:00;40;45;550;109
10:00;43;37;490;101
11:00;46;37;510;102
12:00;50;39;530;111
13:00;58;44;680;125
14:00;56;36;560;111
15:00;57;33;610;108
16:00;51;29;530;95
17:00;58;35;550;111
18:00;68;48;760;140
19:00;73;50;780;148
20:00;84;58;870;171
21:00;90;68;1020;193
22:00;87;66;900;188
23:00;73;65;890;172
