CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;79;64;34;640;92
01:00;54;88;70;30;610;98
02:00;40;77;64;20;560;70
03:00;38;69;59;20;510;67
04:00;33;57;47;18;450;60
05:00;31;52;41;18;370;59
06:00;39;60;45;35;410;93
07:00;53;72;46;66;620;154
08:00;70;101;57;106;880;233
09:00;69;105;61;116;810;247
10:00;;89;47;;660;
11:00;55;79;45;77;590;172
12:00;71;94;49;106;690;232
13:00;72;110;58;105;750;231
14:00;69;97;49;90;690;207
15:00;75;105;56;122;890;263
16:00;89;99;49;129;1090;286
17:00;91;103;56;137;1090;300
18:00;82;101;55;134;1080;288
19:00;86;101;63;142;1190;304
20:00;67;85;61;77;870;184
21:00;58;67;47;64;650;156
22:00;50;64;46;42;660;115
23:00;47;69;53;41;670;109
