CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;96;151;1480;326
01:00;47;32;450;94
02:00;39;22;400;72
03:00;37;20;330;67
04:00;44;24;420;79
05:00;66;54;510;148
06:00;83;112;670;255
07:00;98;191;1200;390
08:00;95;163;990;344
09:00;63;69;640;168
10:00;51;48;490;124
11:00;57;60;490;148
12:00;52;55;500;136
13:00;61;62;560;155
14:00;60;55;450;144
15:00;65;58;510;154
16:00;68;63;610;163
17:00;86;91;790;225
18:00;88;80;840;211
19:00;89;94;980;232
20:00;87;94;1080;231
21:00;91;93;960;234
22:00;108;160;1350;352
23:00;123;258;1720;518
